TRANSACTION_ID,CREATED_AT,TRANSACTION_DATE,MERCHANT_ID,MERCHANT_CATEGORY,PRICING_PLAN,CUSTOMER_ID,CUSTOMER_COUNTRY,CUSTOMER_SEGMENT,ROUTE_ID,ROUTE_PROVIDER,CURRENCY,TRANSACTION_STATUS,FLAG_MISSING_MERCHANT,FLAG_ANOMALOUS_AMOUNT,GROSS_AMOUNT_NATIVE,FX_RATE_TO_USD,GROSS_AMOUNT_USD,GROSS_REVENUE_NATIVE,ROUTING_COST_NATIVE,SETTLED_AMOUNT_NATIVE,PROCESSOR_SETTLEMENT_FEE_NATIVE,CHARGEBACK_LOSS_NATIVE,CONTRIBUTION_PROFIT_USD
TXN_1D58A7F5,2026-07-01 23:13:00.000,2026-07-01,MERCH_009,Retail_Tech,Tier_1_Default,CUST_0109,SG,Standard,GW_CROSSBORDER_X,Stripe Global,SGD,AUTHORIZED,FALSE,FALSE,2152.51,0.740000,1592.8574,53.8128,54.0628,2098.70,53.81,0.00,-40.0044
TXN_AA009E4F,2026-08-17 09:06:00.000,2026-08-17,MERCH_010,Gaming,Volume_Custom,CUST_0144,SG,Standard,GW_AE_LOCAL,GulfPay,SGD,DECLINED,FALSE,FALSE,1181.07,0.740000,873.9918,0.0000,0.0000,0.00,0.00,0.00,0.0000
TXN_9DE59CFC,2026-09-13 05:23:00.000,2026-09-13,MERCH_006,Gaming,Volume_Custom,CUST_0049,AE,Standard,GW_CROSSBORDER_X,Stripe Global,AED,AUTHORIZED,FALSE,FALSE,3504.65,0.270000,946.2555,52.5698,87.8663,3434.56,70.10,0.00,-28.4571
TXN_08DFBFBA,2026-09-01 08:59:00.000,2026-09-01,MERCH_023,Retail_Tech,Volume_Custom,CUST_0044,AE,Enterprise_VIP,GW_CROSSBORDER_X,Stripe Global,AED,AUTHORIZED,FALSE,FALSE,2035.65,0.270000,549.6255,30.5348,51.1413,1984.76,50.89,0.00,-19.3041
TXN_795832EC,2026-07-25 03:37:00.000,2026-07-25,MERCH_022,Retail_Tech,IC_Plus,CUST_0116,AE,SMB,GW_CROSSBORDER_X,Stripe Global,AED,AUTHORIZED,FALSE,FALSE,2559.41,0.270000,691.0407,46.0694,64.2353,2495.42,63.99,0.00,-22.1821
TXN_E710226B,2026-08-16 20:47:00.000,2026-08-16,MERCH_016,SaaS_Services,Volume_Custom,CUST_0053,SG,Enterprise_VIP,GW_IN_LOCAL,PayFast,SGD,AUTHORIZED,FALSE,FALSE,654.58,0.740000,484.3892,9.8187,3.3229,638.22,16.36,0.00,-7.2995
TXN_E73AA8DB,2026-07-22 18:06:00.000,2026-07-22,MERCH_005,Hospitality,Tier_1_Default,CUST_0028,AE,Standard,GW_IN_LOCAL,PayFast,AED,AUTHORIZED,FALSE,FALSE,1959.54,0.270000,529.0758,48.9885,9.8477,1910.55,48.99,0.00,-2.6593
TXN_36EDFC07,2026-08-19 03:49:00.000,2026-08-19,MERCH_001,Gaming,Volume_Custom,CUST_0019,SG,Standard,GW_CROSSBORDER_X,Stripe Global,SGD,AUTHORIZED,FALSE,FALSE,3328.35,0.740000,2462.9790,49.9253,83.4588,3245.14,83.21,0.00,-86.3902
TXN_925D37FD,2026-08-10 10:29:00.000,2026-08-10,MERCH_010,Gaming,Volume_Custom,CUST_0024,AE,Standard,GW_CROSSBORDER_X,Stripe Global,AED,DECLINED,FALSE,FALSE,2273.75,0.270000,613.9125,0.0000,0.0000,0.00,0.00,0.00,0.0000
TXN_643702C1,2026-08-21 02:41:00.000,2026-08-21,MERCH_024,Hospitality,Volume_Custom,CUST_0124,AE,Standard,GW_SG_LOCAL,SingaNet,AED,AUTHORIZED,FALSE,FALSE,286.16,0.270000,77.2632,4.2924,3.5339,279.01,7.15,0.00,-1.7257
TXN_1F32708F,2026-09-03 18:10:00.000,2026-09-03,MERCH_010,Gaming,Volume_Custom,CUST_0100,SG,Standard,GW_AE_LOCAL,GulfPay,SGD,AUTHORIZED,FALSE,FALSE,1906.38,0.740000,1410.7212,28.5957,28.7457,1858.72,47.66,0.00,-35.3794
TXN_5171B198,2026-08-15 18:45:00.000,2026-08-15,MERCH_016,SaaS_Services,Volume_Custom,CUST_0020,AE,Standard,GW_CROSSBORDER_X,Stripe Global,AED,AUTHORIZED,FALSE,FALSE,2430.31,0.270000,656.1837,36.4547,61.0078,0.00,0.00,0.00,-6.6293
TXN_9FEFE8A9,2026-07-26 07:13:00.000,2026-07-26,MERCH_009,Retail_Tech,Tier_1_Default,CUST_0028,AE,Standard,GW_CROSSBORDER_X,Stripe Global,AED,FAILED,FALSE,FALSE,2762.57,0.270000,745.8939,0.0000,0.0000,0.00,0.00,0.00,0.0000
TXN_41EA209D,2026-07-29 10:38:00.000,2026-07-29,MERCH_024,Hospitality,Volume_Custom,CUST_0113,IN,Enterprise_VIP,GW_SG_LOCAL,SingaNet,INR,AUTHORIZED,FALSE,FALSE,1499.95,0.012000,17.9994,22.4993,18.0994,1462.45,37.50,0.00,-0.3972
TXN_39BC96A0,2026-08-22 17:39:00.000,2026-08-22,MERCH_023,Retail_Tech,Volume_Custom,CUST_0106,AE,Standard,GW_IN_LOCAL,PayFast,AED,AUTHORIZED,FALSE,FALSE,265.46,0.270000,71.6742,3.9819,1.3773,258.82,6.64,0.00,-1.0896
TXN_6A387DD0,2026-06-23 00:43:00.000,2026-06-23,MERCH_012,Retail_Tech,IC_Plus,CUST_0121,SG,SMB,GW_AE_LOCAL,GulfPay,SGD,AUTHORIZED,FALSE,FALSE,888.67,0.740000,657.6158,15.9961,13.4801,866.45,22.22,0.00,-14.5810
TXN_707A97A4,2026-06-28 02:25:00.000,2026-06-28,MERCH_006,Gaming,Volume_Custom,CUST_0091,IN,Standard,GW_AE_LOCAL,GulfPay,INR,AUTHORIZED,FALSE,FALSE,278.93,0.012000,3.3472,4.1840,4.3340,271.96,6.97,0.00,-0.0854
TXN_37505A81,2026-08-03 01:04:00.000,2026-08-03,MERCH_016,SaaS_Services,Volume_Custom,CUST_0108,IN,SMB,GW_IN_LOCAL,PayFast,INR,DECLINED,FALSE,FALSE,959.64,0.012000,11.5157,0.0000,0.0000,0.00,0.00,0.00,0.0000
TXN_7CF880A4,2026-07-01 22:50:00.000,2026-07-01,MERCH_009,Retail_Tech,Tier_1_Default,CUST_0038,SG,Standard,GW_CROSSBORDER_X,Stripe Global,SGD,AUTHORIZED,FALSE,FALSE,2896.18,0.740000,2143.1732,72.4045,72.6545,2823.78,72.40,0.00,-53.7610
TXN_84C7D4F4,2026-08-07 19:29:00.000,2026-08-07,MERCH_024,Hospitality,Volume_Custom,CUST_0002,IN,Enterprise_VIP,GW_SG_LOCAL,SingaNet,INR,AUTHORIZED,FALSE,FALSE,1897.16,0.012000,22.7659,28.4574,22.8659,1849.73,47.43,0.00,-0.5021
TXN_AD2DFF37,2026-08-30 13:53:00.000,2026-08-30,MERCH_006,Gaming,Volume_Custom,CUST_0142,SG,Standard,GW_AE_LOCAL,GulfPay,SGD,AUTHORIZED,FALSE,FALSE,1729.89,0.740000,1280.1186,25.9484,26.0984,1686.64,43.25,0.00,-32.1160
TXN_152BC0FD,2026-08-04 14:27:00.000,2026-08-04,MERCH_023,Retail_Tech,Volume_Custom,CUST_0126,IN,Standard,GW_IN_LOCAL,PayFast,INR,AUTHORIZED,FALSE,FALSE,226.14,0.012000,2.7137,3.3921,1.1807,220.49,5.65,0.00,-0.0413
TXN_05F13114,2026-08-21 22:18:00.000,2026-08-21,MERCH_024,Hospitality,Volume_Custom,CUST_0139,AE,Standard,GW_SG_LOCAL,SingaNet,AED,AUTHORIZED,FALSE,FALSE,1616.46,0.270000,436.4442,24.2469,19.4975,1576.05,40.41,0.00,-9.6284
TXN_5B0746FA,2026-09-04 11:34:00.000,2026-09-04,MERCH_016,SaaS_Services,Volume_Custom,CUST_0136,IN,Standard,GW_IN_LOCAL,PayFast,INR,AUTHORIZED,FALSE,FALSE,774.44,0.012000,9.2933,11.6166,3.9222,755.08,19.36,0.00,-0.1400
TXN_8F62635C,2026-08-22 18:18:00.000,2026-08-22,MERCH_024,Hospitality,Volume_Custom,CUST_0039,IN,Standard,GW_SG_LOCAL,SingaNet,INR,AUTHORIZED,FALSE,FALSE,1121.40,0.012000,13.4568,16.8210,13.5568,1093.36,28.04,0.00,-0.2973
TXN_6DF0EDB7,2026-08-05 08:31:00.000,2026-08-05,MERCH_024,Hospitality,Volume_Custom,CUST_0114,IN,SMB,GW_CROSSBORDER_X,Stripe Global,INR,AUTHORIZED,FALSE,FALSE,3234.01,0.012000,38.8081,48.5102,81.1003,3153.16,80.85,0.00,-1.3613
TXN_417F2B60,2026-08-16 18:47:00.000,2026-08-16,MERCH_016,SaaS_Services,Volume_Custom,CUST_0149,AE,Standard,GW_CROSSBORDER_X,Stripe Global,AED,AUTHORIZED,FALSE,FALSE,2166.95,0.270000,585.0765,32.5043,54.4238,2112.78,54.17,2166.95,-605.6207
TXN_44E97489,2026-09-07 00:30:00.000,2026-09-07,MERCH_010,Gaming,Volume_Custom,CUST_0007,SG,Standard,GW_CROSSBORDER_X,Stripe Global,SGD,AUTHORIZED,FALSE,FALSE,3396.30,0.740000,2513.2620,50.9445,85.1575,3311.39,84.91,0.00,-88.1510
TXN_926DD636,2026-09-11 05:40:00.000,2026-09-11,MERCH_020,Retail_Tech,Volume_Custom,CUST_0147,SG,Standard,GW_CROSSBORDER_X,Stripe Global,SGD,DECLINED,FALSE,FALSE,3459.96,0.740000,2560.3704,0.0000,0.0000,0.00,0.00,0.00,0.0000
TXN_5AA94178,2026-07-29 02:00:00.000,2026-07-29,MERCH_003,SaaS_Services,Tier_1_Default,CUST_0053,SG,Enterprise_VIP,GW_AE_LOCAL,GulfPay,SGD,AUTHORIZED,FALSE,TRUE,0.00,0.740000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000
TXN_4EB7A492,2026-08-17 13:19:00.000,2026-08-17,MERCH_002,SaaS_Services,Volume_Custom,CUST_0028,AE,Standard,GW_SG_LOCAL,SingaNet,AED,DECLINED,FALSE,FALSE,1825.48,0.270000,492.8796,0.0000,0.0000,0.00,0.00,0.00,0.0000
TXN_AEC675F0,2026-07-18 14:26:00.000,2026-07-18,MERCH_008,Retail_Tech,Tier_1_Default,CUST_0114,IN,SMB,GW_CROSSBORDER_X,Stripe Global,INR,AUTHORIZED,FALSE,FALSE,3135.61,0.012000,37.6273,78.3903,78.6403,3057.22,78.39,0.00,-0.9437
TXN_53A260C6,2026-06-08 22:35:00.000,2026-06-08,MERCH_001,Gaming,Volume_Custom,CUST_0099,SG,Standard,GW_AE_LOCAL,GulfPay,SGD,DECLINED,FALSE,FALSE,1193.86,0.740000,883.4564,0.0000,0.0000,0.00,0.00,0.00,0.0000
TXN_DDF9A4F1,2026-08-29 01:59:00.000,2026-08-29,MERCH_024,Hospitality,Volume_Custom,CUST_0059,AE,Standard,GW_CROSSBORDER_X,Stripe Global,AED,AUTHORIZED,FALSE,FALSE,2994.42,0.270000,808.4934,44.9163,75.1105,0.00,0.00,0.00,-8.1524
TXN_050AD7FE,2026-08-01 01:57:00.000,2026-08-01,MERCH_010,Gaming,Volume_Custom,CUST_0011,AE,Standard,GW_CROSSBORDER_X,Stripe Global,AED,AUTHORIZED,FALSE,FALSE,3678.35,0.270000,993.1545,55.1753,92.2088,3586.39,91.96,0.00,-34.8282
TXN_AEB1623B,2026-08-10 18:07:00.000,2026-08-10,MERCH_001,Gaming,Volume_Custom,CUST_0093,AE,SMB,GW_AE_LOCAL,GulfPay,AED,AUTHORIZED,FALSE,FALSE,329.64,0.270000,89.0028,4.9446,5.0946,321.40,8.24,0.00,-2.2653
TXN_273EB82F,2026-08-19 06:20:00.000,2026-08-19,MERCH_024,Hospitality,Volume_Custom,CUST_0012,AE,Enterprise_VIP,GW_CROSSBORDER_X,Stripe Global,AED,AUTHORIZED,FALSE,FALSE,3448.66,0.270000,931.1382,51.7299,86.4665,3362.44,86.22,0.00,-32.6583
TXN_485EC04E,2026-07-25 13:46:00.000,2026-07-25,MERCH_007,SaaS_Services,IC_Plus,CUST_0004,SG,Standard,GW_AE_LOCAL,GulfPay,SGD,DECLINED,FALSE,FALSE,992.40,0.740000,734.3760,0.0000,0.0000,0.00,0.00,0.00,0.0000
TXN_8B845F46,2026-07-18 20:17:00.000,2026-07-18,MERCH_003,SaaS_Services,Tier_1_Default,CUST_0017,SG,Standard,GW_CROSSBORDER_X,Stripe Global,SGD,AUTHORIZED,FALSE,FALSE,2632.92,0.740000,1948.3608,65.8230,66.0730,2567.10,65.82,2632.92,-1997.2526
TXN_5ABAFBB7,2026-06-29 19:17:00.000,2026-06-29,MERCH_013,SaaS_Services,IC_Plus,CUST_0008,SG,SMB,GW_IN_LOCAL,PayFast,SGD,AUTHORIZED,FALSE,FALSE,824.99,0.740000,610.4926,14.8498,4.1750,804.37,20.62,0.00,-7.3594
TXN_1705FDC4,2026-08-07 10:43:00.000,2026-08-07,MERCH_023,Retail_Tech,Volume_Custom,CUST_0111,AE,Standard,GW_CROSSBORDER_X,Stripe Global,AED,AUTHORIZED,FALSE,FALSE,2690.04,0.270000,726.3108,40.3506,67.5010,2636.24,53.80,0.00,-21.8566
TXN_CF40F992,2026-07-10 10:14:00.000,2026-07-10,MERCH_010,Gaming,Volume_Custom,CUST_0113,IN,Enterprise_VIP,GW_CROSSBORDER_X,Stripe Global,INR,AUTHORIZED,FALSE,FALSE,3743.58,0.012000,44.9230,56.1537,93.8395,3649.99,93.59,0.00,-1.5753
TXN_1A2B91A8,2026-08-14 00:19:00.000,2026-08-14,MERCH_001,Gaming,Volume_Custom,CUST_0014,AE,Standard,GW_CROSSBORDER_X,Stripe Global,AED,AUTHORIZED,FALSE,FALSE,3984.42,0.270000,1075.7934,59.7663,99.8605,3884.81,99.61,0.00,-37.7201
TXN_2438996C,2026-06-23 02:30:00.000,2026-06-23,MERCH_003,SaaS_Services,Tier_1_Default,CUST_0141,IN,Enterprise_VIP,GW_AE_LOCAL,GulfPay,INR,AUTHORIZED,FALSE,FALSE,538.50,0.012000,6.4620,13.4625,8.2275,525.04,13.46,0.00,-0.0987
TXN_98D83CD9,2026-08-14 11:54:00.000,2026-08-14,MERCH_010,Gaming,Volume_Custom,CUST_0004,SG,Standard,GW_AE_LOCAL,GulfPay,SGD,AUTHORIZED,FALSE,FALSE,1484.41,0.740000,1098.4634,22.2662,22.4162,1447.30,37.11,0.00,-27.5724
TXN_D9F196F5,2026-07-31 05:23:00.000,2026-07-31,MERCH_008,Retail_Tech,Tier_1_Default,CUST_0129,SG,Standard,GW_IN_LOCAL,PayFast,SGD,AUTHORIZED,FALSE,FALSE,1217.04,0.740000,900.6096,30.4260,6.1352,1186.61,30.43,0.00,-4.5430
TXN_8E610909,2026-08-11 22:19:00.000,2026-08-11,MERCH_001,Gaming,Volume_Custom,CUST_0148,SG,Standard,GW_CROSSBORDER_X,Stripe Global,SGD,AUTHORIZED,FALSE,FALSE,2222.86,0.740000,1644.9164,33.3429,55.8215,2167.29,55.57,0.00,-57.7560
TXN_8F9E6232,2026-08-01 22:38:00.000,2026-08-01,MERCH_001,Gaming,Volume_Custom,CUST_0146,AE,Standard,GW_AE_LOCAL,GulfPay,AED,AUTHORIZED,FALSE,FALSE,1065.22,0.270000,287.6094,15.9783,16.1283,1038.59,26.63,0.00,-7.2306
TXN_02721632,2026-07-05 03:39:00.000,2026-07-05,MERCH_002,SaaS_Services,Volume_Custom,CUST_0074,AE,SMB,GW_SG_LOCAL,SingaNet,AED,AUTHORIZED,FALSE,FALSE,1134.21,0.270000,306.2367,17.0132,13.7105,1105.85,28.36,0.00,-6.7655
TXN_2580697E,2026-08-08 07:11:00.000,2026-08-08,MERCH_024,Hospitality,Volume_Custom,CUST_0002,IN,Enterprise_VIP,GW_CROSSBORDER_X,Stripe Global,INR,AUTHORIZED,FALSE,FALSE,2540.61,0.012000,30.4873,38.1092,63.7653,2477.09,63.52,0.00,-1.0701
TXN_33AB0F22,2026-08-03 09:00:00.000,2026-08-03,MERCH_024,Hospitality,Volume_Custom,CUST_0050,SG,Standard,GW_CROSSBORDER_X,Stripe Global,SGD,AUTHORIZED,FALSE,FALSE,3633.55,0.740000,2688.8270,54.5033,91.0888,3542.71,90.84,0.00,-94.2949
