MONTH_COHORT,PRICING_PLAN,ROUTE_ID,SUCCESSFUL_TXNS,VOLUME_SHARE,CPST_USD
2026-06,Volume_Custom,GW_CROSSBORDER_X,4,0.160000,-18.164217500000
2026-06,IC_Plus,GW_CROSSBORDER_X,4,0.160000,-0.048500000000
2026-06,Tier_1_Default,GW_AE_LOCAL,4,0.160000,4.328331750000
2026-06,Tier_1_Default,GW_CROSSBORDER_X,3,0.120000,-0.145833333333
2026-06,Tier_1_Default,GW_SG_LOCAL,3,0.120000,1.255969720000
2026-06,Volume_Custom,GW_IN_LOCAL,2,0.080000,2.361455700000
2026-06,IC_Plus,GW_AE_LOCAL,1,0.040000,6.465158000000
2026-06,IC_Plus,GW_IN_LOCAL,1,0.040000,12.172852000000
2026-06,Volume_Custom,GW_SG_LOCAL,1,0.040000,1.700446000000
2026-06,Volume_Custom,GW_AE_LOCAL,1,0.040000,-0.001800000000
2026-06,IC_Plus,GW_SG_LOCAL,1,0.040000,0.231580080000
2026-07,Tier_1_Default,GW_CROSSBORDER_X,16,0.246154,-0.084781250000
2026-07,IC_Plus,GW_CROSSBORDER_X,9,0.138462,-0.072111111111
2026-07,Volume_Custom,GW_CROSSBORDER_X,8,0.123077,-5.666562900000
2026-07,Tier_1_Default,GW_SG_LOCAL,7,0.107692,5.619462151429
2026-07,Volume_Custom,GW_AE_LOCAL,6,0.092308,-0.032900000000
2026-07,Tier_1_Default,GW_IN_LOCAL,5,0.076923,9.839408000000
2026-07,IC_Plus,GW_AE_LOCAL,4,0.061538,3.295704350000
2026-07,Volume_Custom,GW_IN_LOCAL,3,0.046154,1.539087466667
2026-07,Volume_Custom,GW_SG_LOCAL,3,0.046154,0.334127980000
2026-07,IC_Plus,GW_IN_LOCAL,2,0.030769,4.248558000000
2026-07,Tier_1_Default,GW_AE_LOCAL,1,0.015385,8.467376000000
2026-07,IC_Plus,GW_SG_LOCAL,1,0.015385,0.078962160000
2026-08,Volume_Custom,GW_CROSSBORDER_X,70,0.542636,-10.555205617143
2026-08,Volume_Custom,GW_SG_LOCAL,23,0.178295,0.940236374783
2026-08,Volume_Custom,GW_AE_LOCAL,22,0.170543,-0.063436363636
2026-08,Volume_Custom,GW_IN_LOCAL,14,0.108527,3.007751957143
2026-09,Volume_Custom,GW_CROSSBORDER_X,34,0.531250,-8.523508229412
2026-09,Volume_Custom,GW_IN_LOCAL,10,0.156250,1.389207420000
2026-09,Volume_Custom,GW_AE_LOCAL,10,0.156250,-0.064830000000
2026-09,Volume_Custom,GW_SG_LOCAL,10,0.156250,1.178825524000
